#,Player,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,SO,BB,IBB,HP,GDP,AVG,OBP,SLG,OPS,OPS+,ISO,BABIP,TTO%,K%,BB%,BB/K,wSB,,Team,League
,Isomura Yoshitaka,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-103,0.000,0.000,0.0%,0.0%,0.0%,,0.0,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,Fukuda Shuhei,3,9,9,0,4,1,0,0,5,0,0,0,0,0,2,0,0,0,0,0.444,0.444,0.556,1.000,214,0.111,0.571,22.2%,22.2%,0.0%,0.00,0.0,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
,Akiyama Shogo,4,13,10,0,2,0,0,0,2,3,0,0,0,2,3,1,0,0,0,0.200,0.231,0.200,0.431,35,0.000,0.222,30.8%,23.1%,7.7%,0.33,0.0,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,Itohara Kento,9,13,10,0,4,0,0,0,4,0,0,0,0,0,2,3,0,0,0,0.400,0.538,0.400,0.938,194,0.000,0.500,38.5%,15.4%,23.1%,1.50,0.0,🐯,<a href=https://npb.jp/bis/eng/teams/index_t.html>Hanshin</a>,CL
,Kurebayashi Kotaro,10,40,30,6,11,2,0,1,16,6,0,0,2,0,6,8,0,0,0,0.367,0.500,0.533,1.033,226,0.167,0.435,37.5%,15.0%,20.0%,1.33,0.0,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
,Wakatsuki Kenya,7,26,25,1,6,1,0,0,7,5,0,0,0,1,4,0,0,0,0,0.240,0.231,0.280,0.511,59,0.040,0.273,15.4%,15.4%,0.0%,0.00,0.0,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
,Chatani Kenta,3,11,8,0,2,0,0,0,2,0,0,0,3,0,3,0,0,0,0,0.250,0.250,0.250,0.500,53,0.000,0.400,27.3%,27.3%,0.0%,0.00,0.0,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
,Ogino Takashi,7,30,25,4,8,1,0,1,12,2,0,0,2,0,3,2,0,1,0,0.320,0.393,0.480,0.873,163,0.160,0.333,20.0%,10.0%,6.7%,0.67,0.0,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
,Kikuchi Ryosuke,5,21,19,4,7,1,0,0,8,1,0,0,1,0,1,1,0,0,0,0.368,0.400,0.421,0.821,158,0.053,0.389,9.5%,4.8%,4.8%,1.00,0.0,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,Fujiwara Kyota,5,12,11,1,2,0,0,1,5,3,0,0,0,0,2,1,0,0,0,0.182,0.250,0.455,0.705,111,0.273,0.125,33.3%,16.7%,8.3%,0.50,0.0,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
,Fujioka Yudai,7,30,26,5,7,0,0,1,10,3,0,1,1,0,4,3,0,0,1,0.269,0.345,0.385,0.729,121,0.115,0.286,26.7%,13.3%,10.0%,0.75,-0.3,⚓,<a href=https://npb.jp/bis/eng/teams/index_m.html>Lotte</a>,PL
,Fujita Kazuya,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-99,0.000,0.000,0.0%,0.0%,0.0%,,0.0,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,Ebina Tatsuo,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-99,0.000,0.000,0.0%,0.0%,0.0%,,0.0,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,CL
,Nishikawa Ryoma,5,22,18,1,3,0,0,1,6,2,0,0,2,1,5,1,0,0,1,0.167,0.200,0.333,0.533,65,0.167,0.154,31.8%,22.7%,4.5%,0.20,0.0,🎏,<a href=https://npb.jp/bis/eng/teams/index_c.html>Hiroshima</a>,CL
,Nishino Masahiro,4,12,10,1,1,0,1,0,3,1,0,0,0,0,1,2,0,0,0,0.100,0.250,0.300,0.550,72,0.200,0.111,25.0%,8.3%,16.7%,2.00,0.0,🐃,<a href=https://npb.jp/bis/eng/teams/index_b.html>ORIX</a>,PL
