#,Pitcher,G,W,L,SV,HLD,CG,SHO,BF,IP,H,HR,SO,BB,IBB,HB,WP,R,ER,ERA,FIP,kwERA,WHIP,ERA+,FIP-,kwERA-,Diff,HR%,K%,BB%,K-BB%,,Team,Age,T,League
,Patton Spencer,42,0,3,0,22,0,0,172,36.2,38,4,45,22,4,3,1,24,21,5.15,4.38,3.46,1.64,77,99,94,0.77,2.3%,26.2%,12.8%,13.4%,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,31,R,CL
,Saito Shunsuke,16,0,1,0,0,0,0,115,25.0,31,1,20,8,2,2,3,19,16,5.76,3.49,3.76,1.56,69,79,102,2.27,0.9%,17.4%,7.0%,10.4%,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,25,R,CL
,Sakaguchi Kosuke,3,0,1,0,0,0,0,37,7.2,9,0,4,4,0,1,0,5,5,5.87,4.28,4.80,1.70,68,97,130,1.59,0.0%,10.8%,10.8%,0.0%,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,19,R,CL
,Sakurai Shuto,14,0,0,0,1,0,0,74,16.2,17,1,17,10,0,1,1,9,9,4.86,4.09,3.85,1.62,82,92,104,0.77,1.4%,23.0%,13.5%,9.5%,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,20,L,CL
,Shindo Takuya,5,0,0,0,0,0,0,39,7.0,10,2,5,6,1,2,0,7,7,9.00,9.08,5.06,2.29,44,205,137,-0.08,5.1%,12.8%,15.4%,-2.6%,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,26,R,CL
,Solis Sammy,4,0,0,0,1,0,0,17,4.1,4,1,2,2,0,0,0,1,1,2.08,6.83,4.80,1.38,191,154,130,-4.75,5.9%,11.8%,11.8%,0.0%,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,30,L,CL
,Sunada Yoshiki,16,1,0,0,1,0,0,65,12.1,21,2,10,8,2,1,1,9,7,5.11,6.04,4.49,2.35,78,136,122,-0.93,3.1%,15.4%,12.3%,3.1%,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,23,L,CL
,Taira Kentaro,15,5,6,0,0,0,0,289,70.0,68,9,55,17,2,0,0,34,32,4.11,4.20,3.49,1.21,97,95,94,-0.09,3.1%,19.0%,5.9%,13.1%,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,23,R,CL
,Yamasaki Yasuaki,61,3,2,30,4,0,0,243,60.0,44,6,54,19,2,0,0,18,13,1.95,3.82,3.36,1.05,204,86,91,-1.87,2.5%,22.2%,7.8%,14.4%,⭐,<a href=https://npb.jp/bis/eng/teams/index_db.html>DeNA</a>,26,R,CL
,Adames Samuel,11,0,1,0,3,0,0,40,9.1,10,2,4,4,0,0,0,7,7,6.75,6.58,4.80,1.50,60,146,130,0.17,5.0%,10.0%,10.0%,0.0%,🐰,<a href=https://npb.jp/bis/eng/teams/index_g.html>Yomiuri</a>,24,R,CL
